"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2025","9,500.0","9,650.0","9,730.0","9,460.0","12.11M","-1.04%"
"01/06/2025","9,600.0","9,860.0","9,890.0","9,540.0","14.30M","-2.64%"
"01/03/2025","9,860.0","9,950.0","10,000.0","9,860.0","10.94M","-0.80%"
"01/02/2025","9,940.0","9,840.0","10,100.0","9,840.0","8.59M","0.91%"
"12/31/2024","9,850.0","10,000.0","10,050.0","9,850.0","14.71M","-1.50%"
"12/30/2024","10,000.0","10,150.0","10,200.0","9,990.0","12.06M","-1.48%"
"12/27/2024","10,150.0","10,150.0","10,250.0","10,100.0","9.09M","0.00%"
"12/26/2024","10,150.0","10,250.0","10,300.0","10,150.0","7.50M","-0.98%"
"12/25/2024","10,250.0","10,100.0","10,400.0","10,100.0","14.04M","1.49%"
"12/24/2024","10,100.0","10,200.0","10,250.0","10,050.0","10.97M","-0.98%"
"12/23/2024","10,200.0","10,300.0","10,350.0","10,200.0","10.01M","-0.97%"
"12/20/2024","10,300.0","10,250.0","10,300.0","10,100.0","28.83M","0.98%"
"12/19/2024","10,200.0","10,250.0","10,300.0","10,100.0","19.96M","-1.45%"
"12/18/2024","10,350.0","10,300.0","10,450.0","10,250.0","13.45M","0.49%"
"12/17/2024","10,300.0","10,400.0","10,400.0","10,300.0","13.21M","-0.48%"
"12/16/2024","10,350.0","10,050.0","10,400.0","10,050.0","23.36M","2.99%"
"12/13/2024","10,050.0","10,100.0","10,200.0","10,050.0","8.83M","-0.99%"
"12/12/2024","10,150.0","10,150.0","10,250.0","10,100.0","8.53M","0.00%"
"12/11/2024","10,150.0","10,250.0","10,300.0","10,100.0","12.13M","-0.49%"
"12/10/2024","10,200.0","10,200.0","10,350.0","10,200.0","12.19M","-0.49%"
"12/09/2024","10,250.0","10,250.0","10,400.0","10,200.0","16.02M","0.49%"
"12/06/2024","10,200.0","10,400.0","10,500.0","10,200.0","24.87M","-1.45%"
"12/05/2024","10,350.0","9,750.0","10,350.0","9,610.0","36.63M","6.59%"
"12/04/2024","9,710.0","9,880.0","9,930.0","9,710.0","15.77M","-1.72%"
"12/03/2024","9,880.0","10,000.0","10,100.0","9,880.0","20.59M","-1.69%"
"12/02/2024","10,050.0","10,150.0","10,200.0","10,000.0","8.43M","0.00%"
"11/29/2024","10,050.0","10,000.0","10,200.0","9,980.0","15.92M","0.50%"
"11/28/2024","10,000.0","10,150.0","10,200.0","10,000.0","11.56M","-0.50%"
"11/27/2024","10,050.0","10,150.0","10,200.0","10,000.0","8.48M","-0.50%"
"11/26/2024","10,100.0","9,830.0","10,250.0","9,830.0","24.99M","2.75%"
"11/25/2024","9,830.0","9,720.0","9,890.0","9,720.0","13.24M","1.13%"
"11/22/2024","9,720.0","9,860.0","9,880.0","9,720.0","13.56M","-1.52%"
"11/21/2024","9,870.0","9,700.0","9,880.0","9,680.0","12.21M","1.96%"
