Date,Close,Open,High,Low,Volume,Change
2021-01-08,10679.3,10679.3,10679.3,10679.3,1050000.0,0.0587
2021-01-11,10854.8,11096.0,11096.0,10701.3,7270000.0,0.016399999999999998
2021-01-12,11008.3,10854.8,11074.1,10679.3,6600000.0,0.0141
2021-01-13,10832.8,11008.3,11008.3,10679.3,6920000.0,-0.0159
2021-01-14,11008.3,10832.8,11030.2,10525.8,7610000.0,0.016200000000000003
2021-01-15,11775.8,11293.3,11775.8,11139.8,11420000.0,0.0697
2021-01-18,12587.2,12060.9,12587.2,11995.1,13250000.0,0.0689
2021-01-19,11863.5,12674.9,12674.9,11710.0,11540000.0,-0.0575
2021-01-20,11929.3,11710.0,11929.3,11052.1,12360000.0,0.0055000000000000005
2021-01-21,12104.7,11951.2,12148.6,11841.6,8119999.999999999,0.0147
2021-01-22,11885.4,12126.6,12236.3,11644.2,9500000.0,-0.0181
2021-01-25,11490.7,11951.2,11951.2,11183.7,6860000.0,-0.0332
2021-01-26,10854.8,11622.3,11622.3,10745.1,5240000.0,-0.0553
2021-01-27,10109.2,10854.8,11008.3,10109.2,6490000.0,-0.0687
2021-01-28,9407.5,9407.5,9517.1,9407.5,4200000.0,-0.0694
2021-01-29,10065.3,8749.6,10065.3,8749.6,4760000.0,0.0699
2021-02-01,10043.4,10196.9,10547.8,9999.5,8450000.0,-0.0022
2021-02-02,10701.3,10131.1,10701.3,9868.0,8340000.0,0.0655
2021-02-03,11446.9,10745.1,11446.9,10701.3,6590000.0,0.0697
2021-02-04,11315.3,11490.7,11600.4,11183.7,5290000.0,-0.0115
2021-02-05,11403.0,11381.1,11424.9,11183.7,3650000.0,0.0078000000000000005
2021-02-08,11074.1,11446.9,11556.5,10920.6,6640000.0,-0.0288
2021-02-09,11468.8,11096.0,11556.5,11052.1,6140000.0,0.0356
2021-02-17,11731.9,11534.6,11797.7,11534.6,4280000.0,0.0229
2021-02-18,11446.9,11731.9,11753.9,11403.0,4150000.0000000005,-0.024300000000000002
2021-02-19,12236.3,11403.0,12236.3,11205.6,13890000.0,0.069
2021-02-22,13091.5,12433.6,13091.5,12411.7,14190000.0,0.0699
2021-02-23,13990.6,13157.3,13990.6,12850.3,17080000.0,0.0687
2021-02-24,13288.9,13990.6,13990.6,13179.2,12190000.0,-0.050199999999999995
2021-02-25,14209.9,13354.7,14209.9,13135.4,10810000.0,0.0693
2021-02-26,15196.7,14209.9,15196.7,14012.5,15680000.0,0.0694
2021-03-01,14977.4,15284.4,15394.0,14473.0,10010000.0,-0.0144
2021-03-02,15437.9,15087.0,15437.9,14429.2,11340000.0,0.030699999999999998
2021-03-03,16512.4,15569.5,16512.4,15416.0,17680000.0,0.0696
2021-03-04,16972.9,16665.9,16972.9,16161.6,13360000.0,0.0279
2021-03-05,17608.9,17038.7,17630.8,16205.4,18210000.0,0.0375
2021-03-08,17630.8,17674.6,17981.6,17477.3,19340000.0,0.0012
2021-03-09,16468.6,17630.8,17652.7,16402.8,17150000.0,-0.0659
2021-03-10,15788.8,16446.6,16468.6,15635.3,13140000.0,-0.041299999999999996
2021-03-11,15898.4,15876.5,15942.3,15350.2,13290000.0,0.0069
2021-03-12,16994.8,15942.3,16994.8,15832.6,18960000.0,0.069
2021-03-15,18179.0,17038.7,18179.0,17016.8,18930000.0,0.0697
2021-03-16,17104.5,18179.0,18179.0,16907.1,16680000.0,-0.0591
2021-03-17,17038.7,17104.5,17323.8,16644.0,15530000.0,-0.0038
2021-03-18,16380.8,17082.6,17148.3,16183.5,15220000.0,-0.038599999999999995
2021-03-19,15810.7,16380.8,16380.8,15350.2,20870000.0,-0.0348
2021-03-22,15613.3,15854.5,15876.5,15130.9,17320000.0,-0.0125
2021-03-23,14933.5,15613.3,15613.3,14604.6,15690000.0,-0.0435
2021-03-24,13946.7,14714.2,14736.2,13902.9,18120000.0,-0.0661
2021-03-25,14823.9,13946.7,14911.6,13201.2,26940000.0,0.0629
2021-03-26,14473.0,14823.9,14823.9,13793.2,13920000.0,-0.023700000000000002
2021-03-29,14056.4,14495.0,14495.0,14012.5,11830000.0,-0.0288
2021-03-30,13157.3,13727.5,13793.2,13091.5,21090000.0,-0.064
2021-03-31,13573.9,13157.3,13946.7,12696.8,17030000.0,0.0317
2021-04-01,14012.5,13595.9,14078.3,13530.1,9290000.0,0.0323
2021-04-02,13727.5,14056.4,14144.1,13376.6,11410000.0,-0.0203
2021-04-05,13595.9,13727.5,13749.4,13201.2,14280000.0,-0.0096
2021-04-06,13486.2,13420.4,13683.6,13135.4,13340000.0,-0.008100000000000001
2021-04-07,13508.2,13508.2,13530.1,13157.3,9790000.0,0.0016
2021-04-08,13771.3,13508.2,13815.2,13508.2,12090000.0,0.0195
2021-04-09,13705.5,13705.5,13815.2,13530.1,8130000.000000001,-0.0048
2021-04-12,13552.0,13639.7,13705.5,13376.6,11360000.0,-0.011200000000000002
2021-04-13,13157.3,13486.2,13486.2,12938.0,14320000.0,-0.0291
2021-04-14,13201.2,13025.7,13310.8,12959.9,11220000.0,0.0033
2021-04-15,12828.4,13223.1,13223.1,12828.4,11120000.0,-0.0282
2021-04-16,12631.0,12718.7,12872.2,12258.2,12290000.0,-0.0154
2021-04-19,12981.9,12631.0,13003.8,12411.7,10740000.0,0.0278
2021-04-20,12981.9,13003.8,13201.2,12828.4,10410000.0,0.0
2021-04-22,13881.0,12938.0,13881.0,12806.4,38190000.0,0.0693
2021-04-23,14845.8,13881.0,14845.8,13859.0,29450000.0,0.0695
2021-04-26,15065.1,14867.7,15350.2,14670.4,23800000.0,0.0148
2021-04-27,15372.1,14714.2,15416.0,14275.7,33670000.0,0.0204
2021-04-28,13089.8,13436.8,13610.3,13089.8,25160000.0,-0.1485
2021-04-29,13147.7,13070.6,13417.6,12704.3,24920000.0,0.0044
2021-05-04,12241.6,12723.5,12723.5,12241.6,22890000.0,-0.0689
2021-05-05,11566.9,12010.3,12010.3,11528.3,22390000.0,-0.055099999999999996
2021-05-06,11663.2,11586.1,11875.3,11547.6,9910000.0,0.0083
2021-05-07,11798.2,11663.2,12048.8,11663.2,19650000.0,0.0116
2021-05-10,11605.4,11798.2,11875.3,11528.3,20300000.0,-0.0163
2021-05-11,11335.5,11624.7,11644.0,11181.3,16070000.0,-0.0233
2021-05-12,11007.8,11181.3,11219.9,10776.5,18700000.0,-0.028900000000000002
2021-05-13,10737.9,11007.8,11007.8,10737.9,15650000.0,-0.0245
2021-05-14,10795.7,10737.9,11142.7,10737.9,11220000.0,0.0054
2021-05-17,10236.7,10834.3,10930.7,10217.4,16670000.000000002,-0.0518
2021-05-18,9658.3,10101.7,10217.4,9561.9,20320000.0,-0.0565
2021-05-19,10159.6,9908.9,10178.8,9793.3,6710000.0,0.0519
2021-05-20,10757.2,10178.8,10815.0,10178.8,11900000.0,0.0588
2021-05-21,10333.1,10429.5,10757.2,10294.5,6250000.0,-0.0394
2021-05-24,10487.3,10410.2,10487.3,10043.9,10850000.0,0.0149
2021-05-25,10487.3,10410.2,10487.3,10217.4,7850000.0,0.0
2021-05-26,10564.4,10333.1,10737.9,10217.4,10680000.0,0.0074
2021-05-27,10217.4,10564.4,10583.7,10140.3,5920000.0,-0.032799999999999996
2021-05-28,10371.6,10217.4,10371.6,10043.9,12690000.0,0.0151
2021-05-31,11084.9,10410.2,11084.9,10410.2,21940000.0,0.0688
2021-06-01,11721.1,11316.2,11856.0,11316.2,16149999.999999998,0.0574
2021-06-02,11836.8,11277.7,11933.1,11219.9,14920000.0,0.009899999999999999
2021-06-03,12453.7,11913.9,12627.2,11913.9,20970000.0,0.0521
2021-06-04,11952.4,12530.8,12627.2,11605.4,20370000.0,-0.0403
2021-06-07,11528.3,12048.8,12068.1,11181.3,17880000.0,-0.0355
2021-06-08,10737.9,11374.1,11431.9,10737.9,15120000.0,-0.06860000000000001
2021-06-09,10603.0,10487.3,11123.5,10024.6,18220000.0,-0.0126
2021-06-10,10429.5,10603.0,10872.8,10371.6,8960000.0,-0.016399999999999998
2021-06-11,10699.3,10795.7,10872.8,10448.7,8350000.0,0.0259
2021-06-14,10892.1,10699.3,11162.0,10506.6,12350000.0,0.018000000000000002
2021-06-15,10969.2,10911.4,11181.3,10892.1,8260000.0,0.0070999999999999995
2021-06-16,10892.1,10969.2,11142.7,10795.7,6800000.0,-0.006999999999999999
2021-06-17,10815.0,10757.2,10872.8,10603.0,6850000.0,-0.0070999999999999995
2021-06-18,10988.5,10853.6,11104.2,10853.6,7330000.0,0.016
2021-06-21,11605.4,11046.4,11740.4,11027.1,16270000.0,0.056100000000000004
2021-06-22,11451.2,11817.5,11952.4,11431.9,8750000.0,-0.013300000000000001
2021-06-23,11239.1,11412.6,11644.0,11181.3,7100000.0,-0.018500000000000003
2021-06-24,11142.7,11316.2,11335.5,11142.7,5880000.0,-0.0086
2021-06-25,11412.6,11297.0,11547.6,11027.1,7880000.0,0.0242
2021-06-28,11297.0,11701.8,11759.6,11297.0,13080000.0,-0.0101
2021-06-29,11123.5,11297.0,11470.5,11084.9,13880000.0,-0.0154
2021-06-30,10892.1,11046.4,11104.2,10892.1,9810000.0,-0.0208
2021-07-01,10988.5,10872.8,11219.9,10718.6,12330000.0,0.0089
2021-07-02,10969.2,11142.7,11181.3,10872.8,10900000.0,-0.0018
2021-07-05,10699.3,10950.0,10969.2,10603.0,10290000.0,-0.0246
2021-07-06,9986.1,10680.1,10680.1,9986.1,15770000.0,-0.0667
2021-07-07,10217.4,9986.1,10217.4,9369.2,11700000.0,0.0232
2021-07-08,9870.4,10255.9,10255.9,9831.8,4660000.0,-0.034
2021-07-09,9253.5,9639.0,9831.8,9214.9,10020000.0,-0.0625
2021-07-12,8617.3,8906.5,9041.4,8617.3,7640000.0,-0.0688
2021-07-13,8251.0,8636.6,8694.4,8019.7,11740000.0,-0.0425
2021-07-14,8386.0,8347.4,8694.4,8096.8,8910000.0,0.016399999999999998
